date;jour;b1;b2;b3;b4;b5;chance
2011-09-21;MERCREDI;16;19;20;40;46;4
2011-09-24;SAMEDI;4;33;36;40;41;6
2011-09-26;LUNDI;4;11;33;44;49;9
2011-09-28;MERCREDI;3;8;16;36;42;3
2011-10-01;SAMEDI;14;15;25;32;38;3
2011-10-03;LUNDI;4;12;27;28;40;1
2011-10-05;MERCREDI;2;7;20;27;42;5
2011-10-08;SAMEDI;21;22;30;31;44;7
2011-10-10;LUNDI;3;15;16;45;47;7
2011-10-12;MERCREDI;9;12;20;25;30;5
2011-10-15;SAMEDI;5;13;27;37;39;3
2011-10-17;LUNDI;4;13;14;18;48;10
2011-10-19;MERCREDI;3;23;35;38;44;8
2011-10-22;SAMEDI;6;29;32;44;45;7
2011-10-24;LUNDI;5;15;17;18;31;7
2011-10-26;MERCREDI;2;3;6;20;35;1
2011-10-29;SAMEDI;12;17;38;42;46;8
2011-10-31;LUNDI;13;21;24;37;47;7
2011-11-02;MERCREDI;2;35;38;42;44;9
2011-11-05;SAMEDI;2;13;20;32;38;10
2011-11-07;LUNDI;2;11;18;30;47;5
2011-11-09;MERCREDI;8;12;17;23;37;2
2011-11-12;SAMEDI;12;13;33;44;48;7
2011-11-14;LUNDI;3;18;22;25;43;7
2011-11-16;MERCREDI;12;17;27;37;41;10
2011-11-19;SAMEDI;22;33;34;37;45;5
2011-11-21;LUNDI;18;31;33;46;49;1
2011-11-23;MERCREDI;6;10;16;21;39;5
2011-11-26;SAMEDI;3;16;31;39;47;1
2011-11-28;LUNDI;1;2;11;15;24;9
2011-11-30;MERCREDI;2;4;29;42;49;2
2011-12-03;SAMEDI;6;26;31;34;49;1
2011-12-05;LUNDI;30;36;38;43;47;5
2011-12-07;MERCREDI;8;31;32;35;48;1
2011-12-10;SAMEDI;14;26;28;30;43;8
2011-12-12;LUNDI;1;16;25;29;48;1
2011-12-14;MERCREDI;14;21;33;42;48;1
2011-12-17;SAMEDI;9;34;37;38;41;5
2011-12-19;LUNDI;13;23;26;35;42;5
2011-12-21;MERCREDI;27;33;37;42;45;2
2011-12-24;SAMEDI;7;10;11;12;28;8
2011-12-26;LUNDI;23;28;36;42;43;4
2011-12-28;MERCREDI;16;31;36;39;41;5
2011-12-31;SAMEDI;2;17;28;32;35;2
2012-01-02;LUNDI;3;16;24;30;36;9
2012-01-04;MERCREDI;2;10;23;34;43;5
2012-01-07;SAMEDI;1;6;8;10;12;8
2012-01-09;LUNDI;15;25;26;32;34;4
2012-01-11;MERCREDI;7;9;23;36;44;7
2012-01-14;SAMEDI;1;19;29;38;49;8
2012-01-16;LUNDI;29;36;38;39;47;8
2012-01-18;MERCREDI;9;13;21;33;42;4
2012-01-21;SAMEDI;1;17;23;31;36;4
2012-01-23;LUNDI;20;25;39;44;48;6
2012-01-25;MERCREDI;2;8;23;30;48;5
2012-01-28;SAMEDI;12;15;18;23;47;6
2012-01-30;LUNDI;1;22;32;35;40;8
2012-02-01;MERCREDI;2;5;16;43;49;7
2012-02-04;SAMEDI;9;10;17;32;38;3
2012-02-06;LUNDI;13;15;24;29;49;3
2012-02-08;MERCREDI;12;15;19;27;37;3
2012-02-11;SAMEDI;11;12;32;36;46;6
2012-02-13;LUNDI;9;22;23;24;36;5
2012-02-15;MERCREDI;10;11;22;31;36;1
2012-02-18;SAMEDI;5;17;47;48;49;6
2012-02-20;LUNDI;3;9;31;34;35;5
2012-02-22;MERCREDI;11;31;33;39;43;10
2012-02-25;SAMEDI;4;7;8;19;27;1
2012-02-27;LUNDI;8;23;33;41;45;1
2012-02-29;MERCREDI;11;14;17;27;35;4
2012-03-03;SAMEDI;2;3;24;27;39;8
2012-03-05;LUNDI;17;28;30;31;34;3
2012-03-07;MERCREDI;6;16;22;31;39;7
2012-03-10;SAMEDI;2;4;37;40;44;5
2012-03-12;LUNDI;14;16;25;46;48;10
2012-03-14;MERCREDI;7;13;31;36;43;9
2012-03-17;SAMEDI;13;14;23;32;49;1
